brand,domain,company,market,found_phone,source,status,notes
conversionjet,munserfbo.com,Munserfbo,National,,https://www.munserfbo.com/en/,invalid_area_code,"score=2, distinct=1 rejected_area=599"
conversionjet,fxair.com,Fxair,National,(866) 726-1222,https://www.fxair.com/en-us,found,"score=9, distinct=2"
conversionjet,element-aviation.com,Element Aviation,National,(561) 203-8203,https://element-aviation.com,found,"score=70, distinct=1"
conversionjet,exquisiteaircharter.com,Exquisiteaircharter,National,(800) 806-1178,https://exquisiteaircharter.com,found,"score=3, distinct=3"
conversionjet,cieljets.com,Cieljets,National,(561) 895-7000,https://www.cieljets.com/,found,"score=24, distinct=1"
conversionjet,swartzaviationgroup.com,Swartzaviationgroup,National,(940) 455-2900,https://swartzaviationgroup.com,found,"score=18, distinct=2"
conversionjet,flytangojets.com,Flytangojets,National,(954) 444-0031,https://flytangojets.com/contact-us,found,"score=2, distinct=3"
conversionjet,outlierjets.com,Outlierjets,National,(866) 538-7247,https://www.outlierjets.com/contact-us,found,"score=6, distinct=1"
conversionjet,flyxo.com,Flyxo,National,(866) 709-3018,https://flyxo.com,found,"score=30, distinct=2"
conversionjet,dynamicjetcharter.com,Dynamicjetcharter,National,(844) 577-8222,https://www.dynamicjetcharter.com/,found,"score=45, distinct=1"
conversionjet,sunairjets.com,Sunairjets,Van Nuys,(805) 389-9301,https://www.sunairjets.com/about,found,"score=16, distinct=2"
conversionjet,jethandling.com,Jethandling,National,,https://jethandling.com/contact,invalid_area_code,"score=3, distinct=1 rejected_area=749"
conversionjet,charterhub.com,Charterhub,National,,,unreachable,
conversionjet,jetoneaviation.net,Jetoneaviation,National,(720) 595-0999,https://www.jetoneaviation.net/,found,"score=37, distinct=5"
conversionjet,jet-bay.com,Jet Bay,National,,https://www.jet-bay.com/,invalid_area_code,"score=6, distinct=3 rejected_area=211"
conversionjet,justlandedjets.com,Justlandedjets,National,(844) 435-9555,https://justlandedjets.com,found,"score=20, distinct=6"
conversionjet,businessjet.com,Businessjet,National,(214) 654-1600,https://www.businessjet.com/,found,"score=28, distinct=1"
conversionjet,charterjetone.com,Charterjetone,National,(212) 279-1095,https://charterjetone.com,found,"score=45, distinct=2"
conversionjet,charterflightsflorida.com,Charterflightsflorida,National,(954) 771-0330,https://charterflightsflorida.com/contact,found,"score=6, distinct=1"
conversionjet,theearlyairway.com,Theearlyairway,National,(800) 783-2970,https://theearlyairway.com,found,"score=2, distinct=4"
conversionjet,flystraightline.com,Flystraightline,National,(303) 562-1578,https://flystraightline.com,found,"score=14, distinct=1"
conversionjet,epcvipair.com,Epcvipair,National,(833) 702-3322,https://epcvipair.com,found,"score=21, distinct=2"
conversionjet,jetdirect.com,Jetdirect,National,(713) 454-1400,https://jetdirect.com,found,"score=8, distinct=1"
conversionjet,rairaviation.com,Rairaviation,National,(866) 359-7247,https://www.rairaviation.com/,found,"score=8, distinct=2"
conversionjet,hautejets.com,Hautejets,National,(888) 585-3095,https://www.hautejets.com/contact,found,"score=6, distinct=1"
conversionjet,flytradewind.com,Flytradewind,National,,,unreachable,
conversionjet,truairadvisors.com,Truairadvisors,National,(281) 213-4050,https://www.truairadvisors.com/,found,"score=20, distinct=1"
conversionjet,jetout.com,Jetout,National,(414) 410-9000,https://jetout.com,found,"score=7, distinct=2"
conversionjet,flyairshare.com,Flyairshare,National,(877) 483-5855,https://flyairshare.com,found,"score=13, distinct=7"
conversionjet,jetaxess.com,Jetaxess,National,(807) 697-7717,https://jetaxess.com,found,"score=3, distinct=3"
conversionjet,flymore.app,Flymore,National,(877) 407-8507,https://flymore.app,found,"score=7, distinct=1"
conversionjet,austinprivatejetco.com,Austinprivatejetco,Austin,(512) 580-9065,https://www.flytravelking.com/private-jet-charter/austin-private-jet-charter/,found,"score=19, distinct=1"
conversionjet,flyjetoptions.com,Flyjetoptions,National,(888) 535-9538,https://www.flyjetoptions.com/,found,"score=8, distinct=4"
conversionjet,saturnaviation.com,Saturnaviation,National,(512) 530-7080,https://www.saturnaviation.com/,found,"score=8, distinct=1"
conversionjet,jetaviation.com,Jetaviation,National,(917) 398-9760,https://www.jetaviation.com/,found,"score=3, distinct=3"
conversionjet,houstonprivatejetco.com,Houstonprivatejetco,Houston,(281) 214-6555,https://www.flytravelking.com/private-jet-charter/houston-private-jet-charter/,found,"score=19, distinct=1"
conversionjet,flyvade.com,Flyvade,National,,https://www.flyvade.com/,duplicate_phone_across_domains,"score=56, distinct=2 phone_seen_on=['avalonairllc.com', 'merlin1.com', 'flyvade.com']"
conversionjet,chicagoprivatejetco.com,Chicagoprivatejetco,Chicago,(972) 235-9500,https://www.flytravelking.com/private-jet-charter/chicago-private-jet-charter/,found,"score=19, distinct=1"
conversionjet,charterjetairlines.com,Charterjetairlines,National,(786) 947-4040,https://charterjetairlines.com,found,"score=7, distinct=4"
conversionjet,merlin1.com,Merlin1,National,,https://www.merlin1.com/,duplicate_phone_across_domains,"score=181, distinct=9 phone_seen_on=['avalonairllc.com', 'merlin1.com', 'flyvade.com']"
conversionjet,jetcharterflightschicago.com,Jetcharterflightschicago,Chicago,(312) 252-1717,https://jetcharterflightschicago.com,found,"score=19, distinct=1"
conversionjet,newyorkprivatejetco.com,Newyorkprivatejetco,Teterboro,(332) 895-1765,https://www.flytravelking.com/private-jet-charter/new-york-private-jet-charter/,found,"score=19, distinct=1"
conversionjet,greatprivatejets.com,Greatprivatejets,National,(888) 365-5387,https://greatprivatejets.com,found,"score=6, distinct=1"
conversionjet,aviationcharters.com,Aviationcharters,National,(877) 988-6868,https://aviationcharters.com,found,"score=24, distinct=1"
conversionjet,vjetsaviation.com,Vjetsaviation,National,(800) 647-0677,https://vjetsaviation.com,found,"score=22, distinct=2"
conversionjet,Los Angeles Private Jet Charter,Los angeles private jet charter,Van Nuys,,,unreachable,
conversionjet,wixsite.com,Wixsite,National,,,unreachable,
conversionjet,prismjet.net,Prismjet,National,(480) 426-8180,https://prismjet.net,found,"score=16, distinct=1"
conversionjet,Midlantic Jet Charters Inc,Midlantic jet charters inc,National,,,unreachable,
conversionjet,2jetset.com,2jetset,National,(833) 253-8738,https://2jetset.com,found,"score=32, distinct=1"
conversionjet,Sun Jet International,Sun jet international,National,,,unreachable,
conversionjet,flynda.com,Flynda,National,(972) 233-3334,https://www.flynda.com/,found,"score=15, distinct=2"
conversionjet,americanflightsupport.com,Americanflightsupport,National,(888) 245-4017,https://americanflightsupport.com,found,"score=20, distinct=4"
conversionjet,atlanticaviation.com,Atlanticaviation,National,(972) 905-2500,https://www.atlanticaviation.com/contact,found,"score=7, distinct=4"
critterclick,wildlife-pros-now.com,Wildlife Pros Now,AZ Multi,,https://wildlife-pros-now.com,no_phone_found,
critterclick,atticrawl.com,Atticrawl,TX,(800) 682-1602,https://atticrawl.com,found,"score=22, distinct=1"
critterclick,pestprosnow.com,Pestprosnow,Unknown market,,https://pestprosnow.com,no_phone_found,
critterclick,allcityanimaltrapping.com,Allcityanimaltrapping,Los Angeles CA,(877) 724-5314,https://allcityanimaltrapping.com,found,"score=28, distinct=8"
critterclick,miamiwildlife.com,Miamiwildlife,Miami FL,,https://miamiwildlife.com,no_phone_found,
critterclick,cantupestservices.com,Cantupestservices,Dallas / Houston TX,(281) 519-6707,https://cantupestservices.com,found,"score=93, distinct=1"
critterclick,anytimepestelimination.com,Anytimepestelimination,Austin / San Antonio TX,(832) 514-2400,https://www.anytimepestelimination.com/,found,"score=24, distinct=5"
critterclick,trapperjohnanimalcontrol.com,Trapperjohnanimalcontrol,South FL,(561) 844-4866,https://trapperjohnrodentspecialist.com/,found,"score=46, distinct=2"
critterclick,landmarkpest.com,Landmarkpest,Chicago IL,(847) 350-7378,https://landmarkpest.com,found,"score=18, distinct=3"
critterclick,allstaranimaltrapping.com,Allstaranimaltrapping,Los Angeles CA,(323) 540-2011,https://allstaranimaltrapping.com,found,"score=29, distinct=3"
critterclick,expert wildlife trappers miami,Expert Wildlife Trappers Miami,Miami,,,unreachable,
critterclick,center city pest control,Center City Pest Control,Philadelphia PA,,,unreachable,
critterclick,hunterswildliferemoval.com,Hunterswildliferemoval,New York City NY,,https://hunterswildliferemoval.com,no_phone_found,
critterclick,aprowildlife.com,Aprowildlife,Austin TX,(512) 277-5273,https://aprowildlife.com/contact,found,"score=1, distinct=1"
critterclick,topperswildliferemoval.com,Topperswildliferemoval,Dallas TX,(917) 393-0506,https://topperswildliferemoval.com,found,"score=2, distinct=732"
critterclick,quickcaptureanimal.com,Quickcaptureanimal,Dallas TX,(972) 369-6499,https://quickcaptureanimal.com,found,"score=14, distinct=2"
critterclick,houstontexasrodentremoval.com,Houstontexasrodentremoval,Houston TX,(281) 734-6387,https://houstontexasrodentremoval.com,found,"score=14, distinct=1"
critterclick,houstonbatremoval.com,Houstonbatremoval,Houston TX,(832) 217-9470,https://houstonbatremoval.com,found,"score=27, distinct=2"
critterclick,parkerwildlifecontrol.com,Parkerwildlifecontrol,New Orleans LA,(504) 338-7517,https://parkerwildlifecontrol.com,found,"score=9, distinct=1"
critterclick,xrawc.com,Xrawc,Dallas TX,(469) 228-4055,https://xrawc.com,found,"score=27, distinct=1"
critterclick,wing8pest.com,Wing8Pest,Forney TX (DFW suburb),(833) 888-9464,https://wing8pest.com,found,"score=23, distinct=1"
critterclick,absolutepestmgmt.com,Absolutepestmgmt,Austin / San Antonio TX,,https://www.absolutepestmgmt.com/,no_phone_found,
critterclick,jessescrittercontrol.com,Jessescrittercontrol,Austin TX,(512) 230-7799,https://jessescrittercontrol.com,found,"score=7, distinct=1"
critterclick,austinswildliferemoval.com,Austinswildliferemoval,Austin TX,(512) 278-0278,https://austinswildliferemoval.com,found,"score=6, distinct=3"
critterclick,homelandwildlife.com,Homelandwildlife,San Antonio TX,(210) 776-6100,https://www.homelandwildlife.com/,found,"score=20, distinct=2"
critterclick,allamericanpestandwildlife.com,Allamericanpestandwildlife,New Orleans LA,(985) 707-7585,https://allamericanpestandwildlife.com,found,"score=14, distinct=7"
critterclick,wildlife trapper pro,Wildlife Trapper Pro,Houston TX / New York NY,,,unreachable,
critterclick,affordable wildlife removal,Affordable Wildlife Removal,Broward County FL,,,unreachable,
critterclick,wildlifeinfantry.com,Wildlifeinfantry,Philadelphia PA,(484) 716-2177,https://wildlifeinfantry.com,found,"score=28, distinct=1"
critterclick,adrianbatremovalanimalcontrol.com,Adrianbatremovalanimalcontrol,New York City NY,(855) 858-7378,https://adrianbatremovalanimalcontrol.com,found,"score=19, distinct=2"
critterclick,mountvernonwildliferemoval.com,Mountvernonwildliferemoval,Westchester NY (Mount Vernon),(914) 502-3155,https://mountvernonwildliferemoval.com,found,"score=6, distinct=1"
critterclick,vancewildlife.com,Vancewildlife,Philadelphia PA,(302) 824-4231,https://vancewildlife.com/contact,found,"score=4, distinct=3"
critterclick,apexanimalcontrol.com,Apexanimalcontrol,Phoenix AZ,(480) 318-0457,https://apexanimalcontrol.com,found,"score=22, distinct=1"
critterclick,snakeguru.com,Snakeguru,Phoenix AZ,(928) 533-6276,https://www.snakeguru.com/,found,"score=35, distinct=1"
critterclick,wildlife removal san antonio,Wildlife Removal San Antonio,San Antonio TX,,,unreachable,
critterclick,lone star animal removal,Lone Star Animal Removal,Dallas TX,,,unreachable,
critterclick,simplygreenpest.com,Simplygreenpest,Phoenix AZ,(480) 550-9220,https://simplygreenpest.com,found,"score=15, distinct=2"
critterclick,skilled-pros.com,Skilled Pros,Phoenix AZ,,https://skilled-pros.com,no_phone_found,
critterclick,landmarkpest.com,Landmarkpest,Chicago IL,(847) 350-7378,https://landmarkpest.com,found,"score=18, distinct=3"
critterclick,86pest.com,86Pest,Philadelphia PA,(609) 350-3158,https://www.86pest.com/,found,"score=10, distinct=1"
critterclick,baxterpestcontrol.com,Baxterpestcontrol,Philadelphia PA,,https://baxterpestcontrol.com,invalid_area_code,"score=135, distinct=3 rejected_area=827"
critterclick,dynamitepestcontrol.com,Dynamitepestcontrol,Philadelphia PA,(215) 474-2700,https://dynamitepestcontrol.com,found,"score=14, distinct=4"
critterclick,expertexterminatingphiladelphia.com,Expertexterminatingphiladelphia,Philadelphia PA,(215) 261-7007,https://expertexterminatingphiladelphia.com,found,"score=1, distinct=2"
critterclick,drdeathinc.com,Drdeathinc,Miami,(786) 468-2847,https://drdeathinc.com,found,"score=22, distinct=1"
critterclick,dadepestsolutions.com,Dadepestsolutions,Miami,(305) 330-5565,https://dadepestsolutions.com,found,"score=7, distinct=6"
critterclick,flapest.com,Flapest,Miami,(833) 977-1623,https://www.flapest.com/,found,"score=50, distinct=3"
critterclick,ngpest.com,Ngpest,Palm Beach FL,(470) 375-0496,https://ngpest.com,found,"score=55, distinct=4"
critterclick,ondemandpestcontrol.com,Ondemandpestcontrol,Broward FL,(954) 947-0805,https://www.ondemandpestcontrol.com/,found,"score=30, distinct=3"
critterclick,davespestcontrol.com,Davespestcontrol,Broward FL,(214) 748-3630,https://www.davespestcontrol.com/,found,"score=1, distinct=1"
critterclick,purcorpest.com,Purcorpest,Broward FL,(855) 615-0828,https://www.purcorpest.com/,found,"score=35, distinct=6"
critterclick,allbeesremoval.com,Allbeesremoval,Broward FL,(954) 547-9951,https://www.allbeesremoval.com/,found,"score=29, distinct=3"
critterclick,ecovalleypestaz.com,Ecovalleypestaz,Phoenix AZ,(602) 567-0797,https://www.ecovalleypestaz.com/,found,"score=18, distinct=1"
critterclick,abearpestcontrol.com,Abearpestcontrol,San Antonio TX,(210) 650-3200,https://abearpestcontrol.com/contact,found,"score=7, distinct=1"
critterclick,xoutpest.com,Xoutpest,San Antonio TX,(512) 271-5656,https://xoutpest.com,found,"score=30, distinct=7"
critterclick,newerapestcontrol.com,Newerapestcontrol,Miami,(786) 462-5912,https://newerapestcontrol.com,found,"score=66, distinct=3"
critterclick,napervillepestremoval.com,Napervillepestremoval,Chicago IL (Naperville suburb),(630) 348-7463,https://napervillepestremoval.com/about,found,"score=16, distinct=4"
critterclick,getridofthosebugs.com,Getridofthosebugs,Chicago IL,,https://getridofthosebugs.com,no_phone_found,
critterclick,frommspestcontrol.com,Frommspestcontrol,Phoenix AZ,(602) 334-1513,https://frommspestcontrol.com,found,"score=24, distinct=3"
critterclick,humanechoicewildlifecontrol.com,Humanechoicewildlifecontrol,Houston TX,(713) 258-0411,https://humanechoicewildlifecontrol.com/contact,found,"score=6, distinct=2"
critterclick,trapperjohnschmidt.com,Trapperjohnschmidt,New Orleans LA,,http://trapperjohnschmidt.com,no_phone_found,
rme-roofing,fortworthroofing.net,Fortworthroofing,Dallas-Fort Worth TX,(817) 306-4567,https://www.fortworthroofing.net/,found,"score=42, distinct=2"
rme-roofing,ecosmartroofer.com,Ecosmartroofer,Unknown,(415) 240-9840,https://ecosmartroofer.com,found,"score=5, distinct=13"
rme-roofing,qwchicagoroof.com,Qwchicagoroof,Chicago IL,(312) 809-5100,https://qwchicagoroof.com/contact,found,"score=7, distinct=1"
rme-roofing,americanqualityroofing.biz,Americanqualityroofing,Unknown,(408) 726-9796,https://americanqualityroofing.biz,found,"score=10, distinct=6"
rme-roofing,rmroofinginc.com,Rmroofinginc,Unknown,(619) 636-5562,https://rmroofinginc.com/contact,found,"score=13, distinct=3"
rme-roofing,rodroofingsa.com,Rodroofingsa,San Antonio TX,(210) 734-8444,https://www.rodroofingsa.com/,found,"score=23, distinct=1"
rme-roofing,terrywoodallroofing.com,Terrywoodallroofing,Unknown,(615) 300-6005,https://terrywoodallroofing.com,found,"score=15, distinct=1"
rme-roofing,finishedworkroofing.com,Finishedworkroofing,Unknown,(817) 266-7323,https://finishedworkroofing.com,found,"score=19, distinct=4"
rme-roofing,franciscosroofinginc.co,Franciscosroofinginc,Unknown,,https://franciscosroofinginc.co/contact,invalid_area_code,"score=2, distinct=2 rejected_area=453"
rme-roofing,blakeroofing.homes,Blakeroofing,Unknown,(628) 500-9304,https://blakeroofing.homes,found,"score=32, distinct=1"
rme-roofing,myroofhub.com,Myroofhub,Unknown,(857) 237-7648,https://myroofhub.com,found,"score=9, distinct=2"
rme-roofing,srctn.com,Srctn,Unknown,(615) 320-1045,https://srctn.com,found,"score=14, distinct=1"
rme-roofing,cjroofingdc.com,Cjroofingdc,Washington DC,(202) 770-4971,https://cjroofingdc.com,found,"score=27, distinct=1"
rme-roofing,roofreplacementphoenixaz.com,Roofreplacementphoenixaz,Phoenix AZ,(602) 497-0225,https://roofreplacementphoenixaz.com,found,"score=23, distinct=3"
rme-roofing,roofwhiterock.com,Roofwhiterock,Dallas TX (White Rock Lake area),(972) 362-9647,https://roofwhiterock.com,found,"score=50, distinct=1"
rme-roofing,sanfranciscoroofspecialists.homes,Sanfranciscoroofspecialists,San Francisco CA,(628) 209-0999,https://sanfranciscoroofspecialists.homes,found,"score=32, distinct=1"
rme-roofing,elmroofingcontractor.com,Elmroofingcontractor,Unknown,(415) 534-4396,https://elmroofingcontractor.com,found,"score=15, distinct=2"
rme-roofing,traditionsroofing.com,Traditionsroofing,Unknown,(615) 939-4660,https://www.traditionsroofing.com/contact,found,"score=4, distinct=2"
rme-roofing,pacificperfectionroofing.homes,Pacificperfectionroofing,Pacific coast,(858) 533-1112,https://pacificperfectionroofing.homes,found,"score=32, distinct=1"
rme-roofing,advantageok.net,Advantageok,OK,(405) 873-7369,https://www.advantageok.net/,found,"score=16, distinct=8"
rme-roofing,statewideroofing.com,Statewideroofing,Unknown — multi-state implied,(405) 790-0109,https://www.statewideroofing.com/,found,"score=35, distinct=1"
rme-roofing,improveitmd.com,Improveitmd,MD,(301) 769-6909,https://improveitmd.com,found,"score=28, distinct=4"
rme-roofing,unitedroofingdc.com,Unitedroofingdc,Washington DC,(202) 710-9160,https://www.unitedroofingdc.com/,found,"score=27, distinct=3"
rme-roofing,indytrojanroofing.com,Indytrojanroofing,Indianapolis IN,(317) 442-9480,https://indytrojanroofing.com,found,"score=71, distinct=4"
rme-roofing,stateroofing.com,Stateroofing,Unknown,(253) 480-6962,https://www.stateroofing.com/,found,"score=11, distinct=4"
rme-roofing,sterlingroofingrepair.site,Sterlingroofingrepair,Unknown,(669) 345-5491,https://sterlingroofingrepair.site,found,"score=8, distinct=1"
rme-roofing,loonstynroofing1976.com,Loonstynroofing1976,Unknown,(215) 235-7000,https://loonstynroofing.com/,found,"score=16, distinct=2"
rme-roofing,therooferbros.com,Therooferbros,Unknown,(747) 237-4350,https://therooferbros.com,found,"score=89, distinct=2"
rme-roofing,southerncoastroofing.us,Southerncoastroofing,Southern US coast,(904) 356-7663,https://www.southerncoastroofing.us/contact,found,"score=3, distinct=2"
rme-roofing,isaacshomeimprovements.com,Isaacshomeimprovements,Unknown,,,unreachable,
rme-roofing,ascentroofingsd.com,Ascentroofingsd,San Diego CA,(858) 462-7753,https://www.ascentroofingsd.com/,found,"score=23, distinct=4"
rme-roofing,southernrnr.com,Southernrnr,Southern US,(615) 234-6664,https://southernrnr.com,found,"score=14, distinct=2"
rme-roofing,indyroofandrestoration.com,Indyroofandrestoration,Indianapolis IN,(317) 886-7436,https://indyroofandrestoration.com,found,"score=36, distinct=1"
rme-roofing,costarroofinginc.com,Costarroofinginc,Unknown,(818) 337-1212,https://costarroofinginc.com,found,"score=50, distinct=2"
rme-roofing,streamlineroof.com,Streamlineroof,Unknown,(619) 938-5882,https://streamlineroof.com,found,"score=22, distinct=2"
rme-roofing,loaconstruction.com,Loaconstruction,Unknown,(855) 661-3431,https://www.loaconstruction.com/,found,"score=14, distinct=5"
rme-roofing,pacificroofers.com,Pacificroofers,Pacific Coast,(866) 314-3528,https://pacificroofers.com,found,"score=66, distinct=2"
rme-roofing,newhausroofing.com,Newhausroofing,Unknown,(747) 335-5704,https://newhausroofing.com,found,"score=43, distinct=5"
rme-roofing,supremeexterior.com,Supremeexterior,Unknown,(614) 698-1963,https://supremeexterior.com,found,"score=6, distinct=2"
rme-roofing,charlotteroofing.com,Charlotteroofing,Charlotte NC,(704) 364-3464,https://www.charlotteroofing.com/,found,"score=15, distinct=2"
rme-roofing,southernexteriors.co,Southernexteriors,Southern US,(877) 976-8843,https://southernexteriors.co,found,"score=25, distinct=1"
rme-roofing,theroofingcompanyfl.com,Theroofingcompanyfl,FL,(904) 800-3751,https://theroofingcompanyfl.com,found,"score=92, distinct=1"
rme-roofing,okcroofers.com,Okcroofers,Oklahoma City OK,(405) 796-8858,https://okcroofers.com,found,"score=40, distinct=1"
rme-roofing,rileysroofing.com,Rileysroofing,Unknown,(720) 910-1470,https://rileysroofing.com,found,"score=28, distinct=1"
rme-roofing,horizonrr.com,Horizonrr,Unknown,(980) 275-1085,https://horizonrr.com,found,"score=28, distinct=2"
rme-roofing,standardroofingok.com,Standardroofingok,OK,(405) 236-8401,https://www.standardroofingok.com/,found,"score=32, distinct=2"
rme-roofing,westshoreroofing.com,Westshoreroofing,Unknown — West Shore region,(408) 456-0200,https://www.westshoreroofing.com/,found,"score=15, distinct=2"
rme-roofing,calihomesimprovements.com,Calihomesimprovements,CA,(415) 955-7953,https://calihomesimprovements.com,found,"score=8, distinct=1"
rme-roofing,innovativeroofingsystemsoh.com,Innovativeroofingsystemsoh,OH,(614) 324-9797,https://www.innovativeroofingsystemsoh.com/,found,"score=45, distinct=2"
rme-roofing,qualityroofingspecialists.com,Qualityroofingspecialists,Unknown,(310) 340-1643,https://qualityroofingspecialists.com,found,"score=41, distinct=1"
rme-roofing,buildwithabsolute.com,Buildwithabsolute,Unknown,(617) 481-1725,https://buildwithabsolute.com,found,"score=21, distinct=2"
rme-roofing,solvistaroofing.com,Solvistaroofing,Unknown,,https://solvistaroofing.com,invalid_area_code,"score=3, distinct=3 rejected_area=568"
rme-roofing,roofdoctorphilly.com,Roofdoctorphilly,Philadelphia PA,(215) 533-3333,https://roofdoctorphilly.com,found,"score=25, distinct=1"
rme-roofing,elpasoroofings.com,Elpasoroofings,El Paso TX,(915) 691-0532,https://elpasoroofings.com,found,"score=15, distinct=1"
rme-roofing,frtroof.com,Frtroof,Unknown,(305) 363-6760,https://frtroof.com,found,"score=10, distinct=3"
rme-roofing,lynchroofingaz.com,Lynchroofingaz,Phoenix AZ,(602) 600-6317,https://lynchroofingaz.com,found,"score=49, distinct=5"
rme-roofing,wilsonroofing.com,Wilsonroofing,Austin TX,(512) 263-3157,https://wilsonroofing.com,found,"score=21, distinct=3"
rme-roofing,charlottesbestroofing.com,Charlottesbestroofing,Charlotte NC,(704) 345-9446,https://charlottesbestroofing.com,found,"score=14, distinct=5"
rme-roofing,utxroofing.com,Utxroofing,El Paso TX,,https://utxroofing.com,no_phone_found,
rme-roofing,valorhome.com,Valorhome,Washington DC,(443) 960-7314,https://valorhome.com,found,"score=14, distinct=79"
rme-roofing,premierroofersnh.com,Premierroofersnh,Boston MA,(603) 684-2202,https://premierroofersnh.com,found,"score=21, distinct=4"
rme-roofing,toproofing.pro,Toproofing,San Jose CA | San Francisco CA,,,unreachable,
rme-roofing,atombuildersinc.com,Atombuildersinc,Los Angeles CA,(818) 284-4989,https://atombuildersinc.com,found,"score=83, distinct=1"
rme-roofing,allroofscommercialroofing.com,Allroofscommercialroofing,Chicago IL,,,unreachable,
rme-roofing,idealprecisionroofing.com,Idealprecisionroofing,San Antonio TX,(210) 485-1553,https://idealprecisionroofing.com,found,"score=19, distinct=3"
rme-roofing,localrooferquotes.com,Localrooferquotes,San Francisco CA + 8 more,,https://www.localrooferquotes.com/,invalid_area_code,"score=2, distinct=1 rejected_area=543"
rme-roofing,pinnacleext.com,Pinnacleext,Nashville TN,(931) 226-9762,https://pinnacleext.com,found,"score=6, distinct=1"
rme-roofing,resultsroofing.com,Resultsroofing,Houston TX,(214) 505-1442,https://resultsroofing.com,found,"score=6, distinct=13"
rme-roofing,roofjoker.com,Roofjoker,Austin TX,(512) 910-3610,https://roofjoker.com,found,"score=28, distinct=1"
rme-roofing,socalroof.com,Socalroof,Los Angeles CA,(213) 545-1016,https://socalroof.com,found,"score=7, distinct=3"
rme-roofing,summitbuildingroofing.com,Summitbuildingroofing,Columbus OH,(614) 665-7045,https://summitbuildingroofing.com,found,"score=14, distinct=1"
rme-roofing,allroofsemergencyroofing.com,Allroofsemergencyroofing,Chicago IL,,,unreachable,
rme-roofing,blacklineroofingaz.com,Blacklineroofingaz,Phoenix AZ,,,unreachable,
rme-roofing,greaterbostonroofing.com,Greaterbostonroofing,Boston MA,(617) 744-9690,https://greaterbostonroofing.com,found,"score=28, distinct=1"
rme-roofing,matthewlorandroofing.com,Matthewlorandroofing,Austin TX,,https://matthewlorandroofing.com/contact-us,invalid_area_code,"score=3, distinct=4 rejected_area=556"
rme-roofing,monragaroofing.com,Monragaroofing,Charlotte NC,(843) 618-4944,https://monragaroofing.com,found,"score=7, distinct=2"
rme-roofing,newroofingpro.com,Newroofingpro,Charlotte NC + 2 more,(214) 748-3647,https://newroofingpro.com/contact,found,"score=2, distinct=3"
